基金代码,基金名称,基金简称,基金类型,最新净值,更新日期,涨跌幅,基金规模
000086,南方稳利1年持有期债券A,2025-05-14,1.1649,1.1648,-0.01,2025-05-15 15:00
000085,博时安盈债券C,2025-05-14,1.2278,1.2277,-0.01,2025-05-15 15:00
000090,民生加银高等级信用债A,2025-05-14,1.1177,1.1176,-0.01,2025-05-15 15:00
000089,民生加银高等级信用债C,2025-05-14,1.1047,1.1046,-0.01,2025-05-15 15:00
000104,华宸未来稳健添利债券A,2025-05-14,1.2814,1.2813,-0.01,2025-05-15 15:00
000105,建信安心回报债券A,2025-05-14,1.1030,1.1029,-0.01,2025-05-15 15:00
000106,建信安心回报债券C,2025-05-14,1.0760,1.0759,-0.01,2025-05-15 15:00
000107,富国稳健增强债券A/B,2025-05-14,1.2980,1.2979,-0.01,2025-05-15 15:00
000109,富国稳健增强债券C,2025-05-14,1.2530,1.2528,-0.01,2025-05-15 15:00
000110,金鹰元安混合A,2025-05-14,1.3852,1.3839,-0.09,2025-05-15 15:00
000111,易方达纯债1年定开债A,2025-05-14,1.0270,1.0269,-0.01,2025-05-15 15:00
000112,易方达纯债1年定开债C,2025-05-14,1.0260,1.0259,-0.01,2025-05-15 15:00
000116,嘉实丰益纯债定期债券A,2025-05-14,1.0162,1.0161,-0.01,2025-05-15 15:00
000118,广发聚鑫债券A,2025-05-14,1.5667,1.5654,-0.08,2025-05-15 15:00
000117,广发轮动配置混合,2025-05-14,2.0450,2.0471,0.10,2025-05-15 15:00
000119,广发聚鑫债券C,2025-05-14,1.5557,1.5539,-0.12,2025-05-15 15:00
000120,中银美丽中国混合,2025-05-14,2.1200,2.1053,-0.69,2025-05-15 15:00
000121,华夏永福混合A,2025-05-14,2.4390,2.4263,-0.52,2025-05-15 15:00
000122,汇添富实业债债券A,2025-05-14,1.4755,1.4704,-0.35,2025-05-15 15:00
000123,汇添富实业债债券C,2025-05-14,1.3989,1.3939,-0.36,2025-05-15 15:00
000124,华宝服务优选混合,2025-05-14,3.5640,3.5570,-0.20,2025-05-15 15:00
000126,招商安润灵活配置混合A,2025-05-14,1.8421,1.8275,-0.79,2025-05-15 15:00
000127,农银行业领先混合,2025-05-14,2.5297,2.5342,0.18,2025-05-15 15:00
000128,大成景安短融债券A,2025-05-14,1.3105,1.3104,-0.01,2025-05-15 15:00
000129,大成景安短融债券B,2025-05-14,1.3558,1.3557,-0.01,2025-05-15 15:00
000130,大成景兴信用债债券A,2025-05-14,1.6382,1.6373,-0.05,2025-05-15 15:00
000134,中信保诚嘉鸿债券A,2025-05-14,1.0177,1.0176,-0.01,2025-05-15 15:00
000131,大成景兴信用债债券C,2025-05-14,1.5622,1.5613,-0.06,2025-05-15 15:00
000135,中信保诚嘉鸿债券C,2025-05-14,1.0000,1.0000,-0.01,2025-05-15 15:00
000136,民生加银策略精选混合A,2025-05-14,3.6140,3.5907,-0.64,2025-05-15 15:00
